------------------------------------------------------------
 Jp - Hole current density
------------------------------------------------------------
Position (um), Current Density (A/cm2)
   1.08420217249e-15,      0.0380372728678
       1.70494233446,      0.0402117032722
       2.41385125592,      0.0411168052711
       3.70738275063,      0.0458842522878
       4.24522851717,      0.0478659031082
        5.2266245996,      0.0535091428214
       5.63468557871,      0.0558539717807
       6.37926603503,      0.0614847427997
       6.68885992426,      0.0638246648862
        7.2537695116,      0.0689739407597
       7.48865689646,      0.0711149244695
       7.91725106538,       0.075573756718
       8.09545898707,      0.0774286758855
         8.420631308,      0.0811509998575
        8.5558367954,      0.0826998044578
       8.80254346097,      0.0857304021893
       8.90512320966,      0.0869912328938
        9.0922983624,      0.0894153709852
        9.1701251211,      0.0904237077494
       9.31213400328,      0.0923377571376
        9.3711807883,      0.0931338234158
       9.47892223968,      0.0946304887367
       9.52372074961,      0.0952529291054
       9.60546366714,      0.0964146581594
       9.63945207973,      0.0968977959315
        9.7014700355,      0.0977945469073
       9.72725687958,      0.0981674858479
       9.77430960237,      0.0988567963408
       9.79387395612,      0.0991434665554
       9.82957262909,      0.0996716433027
       9.84441600957,      0.0998913023472
       9.87150041992,       0.100295041848
       9.88276202082,       0.100462950456
       9.90331083182,       0.100771009922
        9.9118549539,       0.100899127236
       9.92744523733,        0.10113385856
       9.93392762138,        0.10123148007
       9.94575589393,       0.101410152937
       9.95067404733,       0.101484460672
       9.95964810045,        0.10162036802
       9.96337947963,       0.101676890217
       9.97018805028,       0.101780277671
       9.97301902959,       0.101823275303
       9.97818465918,       0.101902153991
       9.98033250948,       0.101934958765
       9.98425164764,       0.101995778286
       9.98588121127,        0.10202107251
       9.98885464242,       0.102069109569
       9.99009098445,       0.102089087793
       9.99234691226,       0.102128488485
       9.99328491898,       0.102144875095
       9.99499648049,        0.10217852955
       9.99570814164,       0.102192526605
       9.99700669508,       0.102222038335
       9.99754662895,       0.102234312842
       9.99853183515,       0.102260219424
       9.99894148036,       0.102270995085
       9.99968895154,       0.102281513205
       9.99999974738,       0.102285888692
       9.99999974738,       0.102302547582
       10.0000834524,       0.102302572858
       10.0001565573,       0.102302585368
       10.0002207259,         0.1023025956
       10.0002919531,       0.102302606826
       10.0003710153,       0.102302619027
        10.000433001,       0.102302626907
       10.0005275784,        0.10230264105
       10.0006325594,       0.102302656482
       10.0007490883,        0.10230267327
       10.0008784354,       0.102302691577
       10.0010220106,       0.102302711471
       10.0011813791,        0.10230273321
       10.0013582782,       0.102302756752
       10.0015546362,       0.102302782199
       10.0017725935,       0.102302809857
       10.0018385228,       0.102302824196
       10.0020145261,       0.102302839869
       10.0020877077,       0.102302855935
       10.0022830714,       0.102302872398
       10.0023643029,       0.102302890519
       10.0025811566,       0.102302907683
       10.0026713236,       0.102302928225
       10.0029120311,       0.102302946096
       10.0030121165,       0.102302969498
       10.0032793019,       0.102302988034
       10.0033903967,       0.102303014904
       10.0036869725,       0.102303034031
       10.0038102877,        0.10230306515
       10.0041394868,       0.102303084918
       10.0042763667,       0.102303121261
       10.0046417777,       0.102303141684
       10.0047937143,       0.102303184577
       10.0051993206,       0.102303205775
       10.0053679703,          0.102303257
       10.0058181933,       0.102303279236
       10.0060053944,       0.102303341129
       10.0065051419,       0.102303364896
       10.0067129351,       0.102303440598
       10.0072676548,       0.102303466694
       10.0074983053,       0.102303560459
       10.0081140442,       0.102303590192
       10.0083700663,         0.1023037078
       10.0090535364,       0.102303743257
       10.0093377209,       0.102303892577
       10.0100963728,       0.102303936849
       10.0104118176,       0.102304128597
       10.0112539212,       0.102304186392
       10.0116040648,       0.102304435268
       10.0125387999,       0.102304513541
       10.0129274593,        0.10230483965
       10.0139650152,       0.102304948555
       10.0143964272,       0.102305379414
       10.0155481142,       0.102305533544
       10.0160269816,       0.102306106691
       10.0173053541,       0.102306326755
       10.0178368969,       0.102307093085
       10.0192558905,       0.102307407845
       10.0198459029,       0.102308435813
       10.0214209858,       0.102308884418
       10.0220758996,       0.102310264886
       10.0238242416,       0.102310899012
       10.0245511959,       0.102312750326
       10.0264918555,       0.102313635424
       10.0272987748,       0.102316107776
       10.0294529069,       0.102317322314
       10.0303485874,       0.102320599531
       10.0327396741,       0.102322229785
       10.0337338794,       0.102326525602
       10.0363879856,       0.102328653362
       10.0374915534,       0.102334198324
       10.0404376113,       0.102336878581
       10.0416625717,       0.102343893328
       10.0449326959,       0.102347120097
       10.0462924019,       0.102355772416
       10.0499222399,       0.102359434146
       10.0514315135,       0.102369781711
       10.0554606336,       0.102373614177
       10.0571359273,       0.102385542561
       10.0616082506,       0.102389093658
       10.0634678267,       0.102402268543
       10.0684321056,       0.102404893706
        10.070496235,       0.102418751114
       10.0760065845,        0.10241965494
       10.0782977682,        0.10243344884
       10.0844142562,       0.102431773378
         10.08695747,       0.102444681685
       10.0937467717,       0.102439622232
       10.0965697391,        0.10245088689
        10.104105864,       0.102441800052
       10.1072393577,       0.102450858241
       10.1156044564,       0.102437325648
       10.1190826344,       0.102443889256
       10.1283678939,       0.102425718821
       10.1322286716,       0.102429780776
       10.1425353096,       0.102406951258
       10.1468207728,       0.102408726859
        10.158261141,       0.102381300315
       10.1630180052,        0.10238113326
       10.1757168139,       0.102349165131
       10.1809969331,       0.102347432114
       10.1950926108,       0.102310900305
       10.2009535431,       0.102307938284
       10.2165997453,       0.102266699493
       10.2231053802,       0.102262764659
       10.2404726647,       0.102216535317
       10.2476939194,       0.102211790438
       10.2669716051,       0.102160143526
       10.2749871979,       0.102154664097
        10.296385429,       0.102097031726
        10.305282737,       0.102090820411
