------------------------------------------------------------
 Jp - Hole current density
------------------------------------------------------------
Position (um), Current Density (A/cm2)
                   0,      0.0241668519677
       1.70494233446,      0.0255389141203
       2.41385125592,      0.0261100389639
       3.70738275063,      0.0291096015981
       4.24522851717,      0.0303564598269
        5.2266245996,      0.0338946927086
       5.63468557871,       0.035365035398
       6.37926603503,      0.0388862730863
       6.68885992426,      0.0403498834562
        7.2537695116,      0.0435637630897
       7.48865689646,      0.0449004869128
       7.91725106538,      0.0476793042729
       8.09545898707,      0.0488357837153
         8.420631308,      0.0511529683299
        8.5558367954,      0.0521175017026
       8.80254346097,      0.0540024777275
       8.90512320966,      0.0547869617194
        9.0922983624,      0.0562937935442
        9.1701251211,      0.0569207317163
       9.31213400328,      0.0581099630404
        9.3711807883,      0.0586046516554
       9.47892223968,       0.059534259485
       9.52372074961,      0.0599208953841
       9.60546366714,      0.0606423053829
       9.63945207973,      0.0609423201288
        9.7014700355,      0.0614990953622
       9.72725687958,      0.0617306273757
       9.77430960237,      0.0621585582875
       9.79387395612,      0.0623365022744
       9.82957262909,      0.0626643730721
       9.84441600957,      0.0628007045748
       9.87150041992,      0.0630513150388
       9.88276202082,      0.0631555180784
       9.90331083182,      0.0633467295553
        9.9118549539,      0.0634262329643
       9.92744523733,      0.0635719253506
       9.93392762138,       0.063632501475
       9.94575589393,      0.0637433972349
       9.95067404733,      0.0637895050063
       9.95964810045,      0.0638738577467
       9.96337947963,      0.0639089292446
       9.97018805028,      0.0639731060362
       9.97301902959,      0.0639997888108
       9.97818465918,      0.0640487870025
       9.98033250948,      0.0640691591186
       9.98425164764,      0.0641070390554
       9.98588121127,      0.0641227891863
       9.98885464242,      0.0641529187239
       9.99009098445,      0.0641654479916
       9.99234691226,      0.0641905129459
       9.99328491898,      0.0642009394618
       9.99499648049,      0.0642228358018
       9.99570814164,      0.0642319501031
       9.99700669508,      0.0642517238369
       9.99754662895,      0.0642599641132
       9.99853183515,      0.0642779047887
       9.99894148036,      0.0642853954099
       9.99968895154,      0.0642928429225
       9.99999974738,       0.064295979941
       9.99999974738,      0.0643114683553
        10.006348537,      0.0643161995533
        10.008988341,      0.0643318324368
       10.0160354974,      0.0643670820941
       10.0189656798,      0.0644546337907
       10.0267880235,      0.0645904738696
        10.030040526,      0.0648717821504
       10.0387233274,      0.0652105540235
       10.0423336052,      0.0658468086258
       10.0519715148,      0.0664506756444
       10.0559789231,      0.0675103431646
       10.0666770028,      0.0683063759269
       10.0711252261,      0.0696429192129
       10.0830000945,      0.0704261652051
       10.0879376223,      0.0717414953444
       10.1011187263,      0.0722975439059
       10.1065993821,      0.0733337332855
       10.1212304075,      0.0735513470015
       10.1273139355,      0.0742051943001
       10.1435543737,      0.0740879900801
       10.1503070898,      0.0743906516107
       10.1683339762,      0.0740028519697
        10.175829491,      0.0740441587065
       10.1958393349,       0.073457179688
       10.2041593564,      0.0733267109414
       10.2263702831,      0.0725933098965
        10.235605507,      0.0723558619791
       10.2602596356,      0.0715060982643
       10.2705107341,      0.0712000547614
       10.2978768169,      0.0702465656173
       10.3092555362,      0.0698909924519
       10.3396318882,       0.068835649545
       10.3522622666,       0.068438044171
       10.3859800172,      0.0672154097213
       10.3999997373,      0.0667443831817
       10.4180333429,      0.0661767746063
       10.4255316515,      0.0659704448445
       10.4435652571,      0.0653579551669
       10.4510635658,      0.0651271991927
       10.4690971714,      0.0645187740716
         10.47659548,      0.0642898201514
       10.4946290856,      0.0636855411496
       10.5021273943,      0.0634584272605
       10.5201609999,      0.0628583674168
       10.5276593085,      0.0626331201532
       10.5456929141,      0.0620373501589
       10.5531912228,      0.0618139910904
       10.5712248283,      0.0612225821508
        10.578723137,      0.0610011307094
       10.5967567426,      0.0604141559504
       10.6042550513,      0.0601946307435
       10.6222886568,      0.0596121659285
       10.6297869655,      0.0593945853263
       10.6478205711,      0.0588167092642
       10.6553188798,      0.0586010916856
       10.6733524853,      0.0580278865293
        10.680850794,      0.0578142505601
       10.6988843996,      0.0572458020241
       10.7063827083,      0.0570341664703
       10.7244163138,      0.0564705640388
       10.7319146225,      0.0562609479559
       10.7499482281,      0.0557022850784
       10.7574465368,      0.0554947077738
       10.7754801423,      0.0549410820685
        10.782978451,      0.0547355631032
       10.8010120566,      0.0541870765638
       10.8085103653,      0.0539836357502
       10.8265439708,      0.0534403949353
       10.8340422795,      0.0532390523302
       10.8520758851,      0.0527011685963
       10.8595741937,      0.0525019444867
       10.8776077993,       0.051969534206
        10.885106108,       0.051772449098
       10.9031397136,      0.0512456338819
       10.9106380222,      0.0510507084914
       10.9286716278,      0.0505296154446
       10.9361699365,      0.0503368706786
       10.9542035421,      0.0498216325915
       10.9617018507,      0.0496310895258
       10.9797354563,      0.0491218451401
        10.987233765,      0.0489335250014
       11.0052673706,      0.0484304192514
       11.0127656792,      0.0482443433995
       11.0307992848,      0.0477475276541
       11.0382975935,      0.0475637175507
       11.0563311991,      0.0470733498328
       11.0638295077,      0.0468918270104
       11.0818631133,        0.04640807223
        11.089361422,      0.0462288582701
       11.1073950276,      0.0457518884658
       11.1148933362,      0.0455750049603
       11.1329269418,      0.0451049994844
       11.1404252505,      0.0449304679982
       11.1584588561,      0.0444676137265
       11.1659571647,      0.0442954557632
       11.1839907703,      0.0438399472452
        11.191489079,      0.0436701841972
       11.2095226846,      0.0432222238174
       11.2170209932,      0.0430548769198
       11.2350545988,      0.0426146750012
       11.2425529075,      0.0424497652817
       11.2605865131,      0.0420175401281
       11.2680848217,      0.0418550883419
       11.2861184273,      0.0414310662646
